./stealing;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
0;0,0001924;0,0006343;0,0005197;0,0003335;0,0001998;0,0002219;0,0002799;0,0002288;0,000233;0,0002530;0,000571;0,0002662;0,0003145;0,0003169;0,000319
1;0,0001806;0,0004317;0,0002099;0,0003565;0,0003246;0,0002737;0,0002645;0,0003319;0,0002358;0,0003002;0,0003036;0,0003755;0,0004898;0,0003044;0,0004648
2;0,0001965;0,0005443;0,0009438;0,0004570;0,0003024;0,0002262;0,0002120;0,0002929;0,0003654;0,0002985;0,0002637;0,0003032;0,0003003;0,0003094;0,0003555
3;0,0001922;0,0006394;0,0002187;0,0002751;0,0002775;0,0007787;0,0004700;0,0003484;0,0002558;0,0002645;0,0002675;0,0002659;0,0002885;0,0003179;0,0003487
4;0,0001892;0,0010218;0,0002986;0,0002403;0,0003858;0,0002027;0,0002177;0,000303;0,0002549;0,0002456;0,0010456;0,0012757;0,0004965;0,0010129;0,0007178
5;0,0002337;0,0008299;0,0010370;0,0011478;0,0007476;0,0002494;0,0002137;0,0002278;0,0002370;0,0002519;0,0002725;0,0002795;0,0005070;0,0002931;0,0003257
6;0,0001935;0,0004274;0,0003027;0,0002409;0,0003742;0,0003259;0,0002306;0,0002349;0,0002543;0,0003088;0,0007747;0,0008242;0,0004626;0,0004045;0,0003368
7;0,0001987;0,0004323;0,0003104;0,0006491;0,0004777;0,0005812;0,0006527;0,001063;0,0013570;0,0011933;0,0013799;0,0013532;0,0003499;0,0007008;0,0010838
8;0,0001425;0,0011116;0,0011366;0,0010379;0,001154;0,0012789;0,0014125;0,0013733;0,0011861;0,0012637;0,0014317;0,0014163;0,0013257;0,0014372;0,0016889
9;0,0002661;0,0009619;0,0012368;0,001315;0,0013262;0,0012756;0,0012933;0,0014478;0,0014106;0,0013441;0,0013487;0,0014996;0,0015959;0,0014396;0,0014857
10;0,000522;0,0011792;0,0007834;0,0011565;0,0012986;0,0012873;0,0012835;0,0013017;0,0014535;0,0018564;0,001659;0,0014521;0,0014553;0,0014929;0,0013771
11;0,0002453;0,0008971;0,0012466;0,0012599;0,0012688;0,0018097;0,0013784;0,0013655;0,00135;0,0013265;0,0013295;0,001321;0,0016140;0,0014526;0,0014295
12;0,0013906;0,0013201;0,001344;0,0012526;0,0013493;0,0013399;0,0014019;0,0016881;0,0014383;0,0020928;0,0015609;0,0015847;0,0017052;0,0019067;0,0018468
13;0,0016011;0,0023893;0,0024976;0,0017716;0,0012978;0,0014750;0,0020413;0,0023659;0,0017019;0,0022796;0,0017839;0,0017486;0,0017619;0,0020283;0,0021856
14;0,001487;0,0018700;0,0024544;0,0024284;0,0024354;0,0024295;0,0021666;0,0020916;0,0020773;0,0019958;0,0020378;0,0019795;0,0023322;0,0018387;0,0028867
15;0,0043461;0,0040582;0,0040770;0,0040166;0,0038309;0,0034263;0,0033994;0,0033821;0,0032716;0,0032314;0,0040677;0,0032886;0,0038474;0,0039146;0,002657
16;0,0052442;0,0049409;0,0041512;0,0041047;0,0041900;0,0042144;0,0042036;0,0041823;0,0047950;0,0044004;0,0042767;0,0044141;0,0044372;0,004133;0,0042958
